FrameTime (s),SystemTime (UTC),GpsTimeOfWeek (s),PositionX (m),PositionY (m),PositionZ (m)
201.297,2022-08-08 18:07:03,151625,-1520435.8,-5083348.11,3530360.82
202.295,2022-08-08 18:07:04,151626,-1520435.82,-5083348.11,3530360.88
203.297,2022-08-08 18:07:05,151627,-1520435.86,-5083348.13,3530360.97
204.294,2022-08-08 18:07:06,151628,-1520435.89,-5083348.16,3530361.06
205.321,2022-08-08 18:07:07,151629,-1520435.85,-5083348.22,3530361.08
206.299,2022-08-08 18:07:08,151630,-1520435.79,-5083348.24,3530361.12
207.332,2022-08-08 18:07:09,151631,-1520435.74,-5083348.3,3530361.17
208.32,2022-08-08 18:07:10,151632,-1520435.68,-5083348.37,3530361.17
209.334,2022-08-08 18:07:11,151633,-1520435.68,-5083348.38,3530361.24
210.293,2022-08-08 18:07:12,151634,-1520435.68,-5083348.45,3530361.31
211.297,2022-08-08 18:07:13,151635,-1520435.66,-5083348.49,3530361.36
212.318,2022-08-08 18:07:14,151636,-1520435.63,-5083348.51,3530361.4
213.32,2022-08-08 18:07:15,151637,-1520435.55,-5083348.55,3530361.43
214.293,2022-08-08 18:07:16,151638,-1520435.48,-5083348.5,3530361.44
215.296,2022-08-08 18:07:17,151639,-1520435.43,-5083348.54,3530361.54
216.295,2022-08-08 18:07:18,151640,-1520435.24,-5083348.57,3530361.52
217.289,2022-08-08 18:07:19,151641,-1520435.2,-5083348.6,3530361.65
218.315,2022-08-08 18:07:20,151642,-1520435.11,-5083348.61,3530361.74
219.32,2022-08-08 18:07:21,151643,-1520435.05,-5083348.61,3530361.87
220.297,2022-08-08 18:07:22,151644,-1520435.09,-5083348.65,3530362.04
221.295,2022-08-08 18:07:23,151645,-1520435.01,-5083348.7,3530362.14
222.313,2022-08-08 18:07:24,151646,-1520434.95,-5083348.83,3530362.24
223.298,2022-08-08 18:07:25,151647,-1520434.83,-5083348.97,3530362.26
224.331,2022-08-08 18:07:26,151648,-1520434.72,-5083349.05,3530362.33
225.301,2022-08-08 18:07:27,151649,-1520434.6,-5083349.32,3530362.38
226.294,2022-08-08 18:07:28,151650,-1520434.51,-5083349.58,3530362.47
227.296,2022-08-08 18:07:29,151651,-1520434.52,-5083349.8,3530362.62
228.294,2022-08-08 18:07:30,151652,-1520434.55,-5083350.02,3530362.77
229.302,2022-08-08 18:07:31,151653,-1520434.59,-5083350.28,3530362.97
230.316,2022-08-08 18:07:32,151654,-1520434.64,-5083350.5,3530363.13
231.3,2022-08-08 18:07:33,151655,-1520434.62,-5083350.69,3530363.18
232.303,2022-08-08 18:07:34,151656,-1520434.62,-5083351,3530363.26
233.296,2022-08-08 18:07:35,151657,-1520434.64,-5083351.24,3530363.34
234.317,2022-08-08 18:07:36,151658,-1520434.68,-5083351.42,3530363.5
235.328,2022-08-08 18:07:37,151659,-1520434.62,-5083351.47,3530363.52
236.32,2022-08-08 18:07:38,151660,-1520434.65,-5083351.45,3530363.67
237.301,2022-08-08 18:07:39,151661,-1520434.72,-5083351.52,3530363.84
238.299,2022-08-08 18:07:40,151662,-1520434.8,-5083351.82,3530364.02
239.32,2022-08-08 18:07:41,151663,-1520434.84,-5083351.97,3530364.2
240.292,2022-08-08 18:07:42,151664,-1520435.02,-5083352.28,3530364.49
241.289,2022-08-08 18:07:43,151665,-1520435.19,-5083352.43,3530364.76
242.306,2022-08-08 18:07:44,151666,-1520435.15,-5083352.54,3530364.83
243.319,2022-08-08 18:07:45,151667,-1520435.19,-5083352.61,3530364.98
244.291,2022-08-08 18:07:46,151668,-1520435.16,-5083352.64,3530365.07
245.316,2022-08-08 18:07:47,151669,-1520435.12,-5083352.6,3530365.14
246.315,2022-08-08 18:07:48,151670,-1520435.01,-5083352.54,3530365.14
247.316,2022-08-08 18:07:49,151671,-1520434.82,-5083352.49,3530365.01
248.29,2022-08-08 18:07:50,151672,-1520434.74,-5083352.56,3530365.03
249.318,2022-08-08 18:07:51,151673,-1520434.77,-5083352.6,3530365.13
250.29,2022-08-08 18:07:52,151674,-1520434.63,-5083352.31,3530365.11
251.301,2022-08-08 18:07:53,151675,-1520434.49,-5083352.03,3530365.09
252.321,2022-08-08 18:07:54,151676,-1520434.39,-5083351.8,3530365.13
253.32,2022-08-08 18:07:55,151677,-1520434.3,-5083351.6,3530365.15
254.288,2022-08-08 18:07:56,151678,-1520434.17,-5083351.47,3530365.12
255.311,2022-08-08 18:07:57,151679,-1520434.03,-5083351.29,3530365.05
256.303,2022-08-08 18:07:58,151680,-1520433.88,-5083351.13,3530364.99
257.315,2022-08-08 18:07:59,151681,-1520433.74,-5083351.03,3530364.92
258.3,2022-08-08 18:08:00,151682,-1520433.6,-5083350.92,3530364.88
259.318,2022-08-08 18:08:01,151683.001,-1520433.43,-5083350.85,3530364.81
260.295,2022-08-08 18:08:02,151684,-1520433.22,-5083350.96,3530364.66
261.312,2022-08-08 18:08:03,151685,-1520433.04,-5083351.05,3530364.5
262.317,2022-08-08 18:08:04,151686,-1520432.89,-5083351.16,3530364.41
263.322,2022-08-08 18:08:05,151687,-1520432.73,-5083351.25,3530364.25
264.334,2022-08-08 18:08:06,151688,-1520432.69,-5083351.37,3530364.19
265.317,2022-08-08 18:08:07,151689,-1520432.6,-5083351.63,3530364.16
266.291,2022-08-08 18:08:08,151690,-1520432.54,-5083351.71,3530364.14
267.318,2022-08-08 18:08:09,151691,-1520432.55,-5083351.77,3530364.2
268.292,2022-08-08 18:08:10,151692,-1520432.59,-5083351.86,3530364.32
269.319,2022-08-08 18:08:11,151693,-1520432.59,-5083351.88,3530364.37
270.319,2022-08-08 18:08:12,151694,-1520432.54,-5083351.89,3530364.35
271.314,2022-08-08 18:08:13,151695,-1520432.51,-5083351.92,3530364.36
272.295,2022-08-08 18:08:14,151696,-1520432.55,-5083352,3530364.44
273.289,2022-08-08 18:08:15,151697,-1520432.46,-5083351.97,3530364.37
274.291,2022-08-08 18:08:16,151698,-1520432.4,-5083351.86,3530364.35
275.295,2022-08-08 18:08:17,151699,-1520432.38,-5083351.82,3530364.39
276.323,2022-08-08 18:08:18,151700,-1520432.43,-5083351.81,3530364.47
277.315,2022-08-08 18:08:19,151701,-1520432.39,-5083351.79,3530364.49
278.322,2022-08-08 18:08:20,151702,-1520432.38,-5083351.72,3530364.49
279.318,2022-08-08 18:08:21,151703,-1520432.43,-5083351.66,3530364.51
280.298,2022-08-08 18:08:22,151704,-1520432.5,-5083351.62,3530364.6
281.319,2022-08-08 18:08:23,151705,-1520432.44,-5083351.65,3530364.59
282.298,2022-08-08 18:08:24,151706,-1520432.41,-5083351.6,3530364.6
